team1,score1,score2,team2,players,date
The Watchers,340,33,ГОРИЗОНТ,15,2022/01/24
Weyland Corp,75,28,N7 Elite Forces,10,2022/01/23
Bastion,114,41,Hydra,10,2022/01/23
StarControl,301,73,Terranova,15,2022/01/23
Auscorp,89,89,Final,15,2022/01/23
Anla'Shok,150,19,Enigma,15,2022/01/22
Star Gate,8,29,Imperium XIII,5,2022/01/22
UKR Spase,29,14,exirium,5,2022/01/22
Tacitus,148,15,The Picard,10,2022/01/22
$TAR$,119,0,우주미아,15,2022/01/22
Kharon Shipping,78,11,Space Donuts,5,2022/01/22
Lexx,35,24,Space Pirate,10,2022/01/22
Nearland Ind,172,143,CCCP,15,2022/01/22
Team Elite,77,3,PHOENIX,5,2022/01/21
Wacky Wabbits,47,56,Dauntless,15,2022/01/20
Metal Nova,72,1,Legionnaires,10,2022/01/20
BlackStar Order,442,3,Alpha Nation,15,2022/01/20
EradicatorElite,182,36,Gulinga,10,2022/01/19
Death Flight,1,223,Hinterm Mond,5,2022/01/18
Ender,137,48,СОЮЗ,10,2022/01/17
Anla'Shok,187,5,TGY Inc.,15,2022/01/17
StarControl,232,110,DadCorp,15,2022/01/17
Solysis,46,185,SYNDICATE,15,2022/01/16
Imperium XIII,116,16,LOST PIRATES,5,2022/01/16
Auscorp,216,35,Terranova,15,2022/01/16
OntarioDynasty,100,98,Spacecrevards,10,2022/01/16
Unimatrix Zero,304,54,Black Solaris,10,2022/01/15
Unimatrix Zero,38,0,HORNET,5,2022/01/15
Bastion,38,35,Sith Empire,10,2022/01/15
$TAR$,6,12,Defiant wolfs,5,2022/01/15
$TAR$,118,8,Special Force,15,2022/01/15
ГОРИЗОНТ,81,52,HORNET,10,2022/01/15
Team Elite,39,16,Grunthal Gang,5,2022/01/15
Nearland Ind,153,135,DarkMoon,15,2022/01/15
Weyland Corp,24,39,Topговая Федерация,10,2022/01/14
Metal Nova,44,24,INFINITY STAR,10,2022/01/14
EradicatorElite,154,5,Dark Skai,10,2022/01/13
Spacefleet,186,27,Dark Age,15,2022/01/11
Anla'Shok,185,1,BR Gear,15,2022/01/11
Ender,117,38,BRhue,10,2022/01/10
UKR Spase,140,13,Rocket-by Baby,10,2022/01/10
StarControl,265,12,LossFarm No.648,10,2022/01/10
StarControl,287,47,The Star League,10,2022/01/10
Imperium XIII,24,89,Hinterm Mond,5,2022/01/10
BlackStar Order,503,2,The BR Project,15,2022/01/10
Spacecrevards,239,124,Terranova,15,2022/01/09
Auscorp,203,77,Salamanders,10,2022/01/08
Tacitus,112,98,Nearland Ind,15,2022/01/08
$TAR$,129,8,Crazy Monkeys,15,2022/01/08
Wacky Wabbits,154,56,Solysis,15,2022/01/08
Team Elite,35,38,E.T.A,5,2022/01/07
ГОРИЗОНТ,110,7,TheSpacingGuild,5,2022/01/07
Anla'Shok,111,6,Crazy Elite,15,2022/01/06
OntarioDynasty,92,111,Ancient Library,10,2022/01/05
Spacefleet,301,4,Red_Coat_Mafia,15,2022/01/04
InfamousExiles,3,53,Hinterm Mond,5,2022/01/04
BlackStar Order,347,13,Españoles,15,2022/01/04
StarControl,215,24,The Picard,10,2022/01/03
Yishun CC,28,23,Kharon Shipping,5,2022/01/02
$TAR$,125,1,혁명군,15,2022/01/02
Dragon Army,18,66,Nooooobs,10,2022/01/02
Corp. Estelar,93,0,KARI,10,2022/01/02
Imperium XIII,78,30,Black Sun,10,2022/01/02
Dark Skai,30,95,Omega Alpha,10,2022/01/02
Star Wars,98,42,Lost Legion,10,2022/01/02
USA Corp,58,135,Orion,10,2022/01/02
WFOS,93,11,Galaxia,15,2022/01/02
Big Hammer,4,261,Starsailors,15,2022/01/02
Terranova,269,4,KARI,15,2022/01/02
Space Donuts,375,0,G.M.U.,15,2022/01/02
Spacecrevards,54,50,DUNE,5,2022/01/02
Anla'Shok,135,6,YETI Collective,15,2022/01/01
Auscorp,1,49,Star Fall,5,2022/01/01
Team Elite,119,12,Topговая Федерация,5,2022/01/01
Nearland Ind,28,25,Alpaca Haven,15,2022/01/01
Wintercomes,16,7,Russian Corp,10,2021/12/31
Spacefleet,131,23,Embers Rising,15,2021/12/29
Weyland Corp,81,39,Farland Ind.,10,2021/12/28
Polaris,42,34,Bastion,5,2021/12/28
UKR Spase,94,17,DISS LIGA,10,2021/12/28
Spacecrevards,136,8,Sith Empire,5,2021/12/27
Anla'Shok,2,26,Space Oddity,10,2021/12/26
Solysis,32,40,Foreshadowing,15,2021/12/26
Tacitus,88,14,Nюбители пива,15,2021/12/26
Imperium XIII,96,40,Hydra,10,2021/12/25
Urban Legends,0,22,Kharon Shipping,10,2021/12/25
$TAR$,128,124,Bounty Hunters,15,2021/12/25
Wacky Wabbits,142,104,Serenity,15,2021/12/25
StarControl,180,33,ГОРИЗОНТ,10,2021/12/25
Nearland Ind,153,10,Aepxaba Pycb,15,2021/12/24
Spacefleet,154,7,Path of Hades,15,2021/12/23
Team Elite,61,170,Best,10,2021/12/23
Spacecrevards,93,92,РОССИЯ,10,2021/12/23
EradicatorElite,126,2,Black Sun,10,2021/12/21
Anla'Shok,70,70,Internationals,15,2021/12/20
OntarioDynasty,84,45,The Time Lords,10,2021/12/20
Ender,98,39,EradicatorElite,10,2021/12/19
Auscorp,133,70,DadCorp,15,2021/12/19
Terranova,211,81,Sith Empire,15,2021/12/19
Tacitus,0,309,Midland Ind.,15,2021/12/18
$TAR$,136,9,Daemon Runners,15,2021/12/18
StarControl,168,110,Legion,15,2021/12/18
Spacefleet,110,85,OntarioDomicile,15,2021/12/17
Imperium XIII,137,13,The Picard,10,2021/12/17
Greener Pastures,21,60,Kharon Shipping,5,2021/12/17
Wacky Wabbits,166,5,혁명군,15,2021/12/17
Nearland Ind,163,1,The Force,15,2021/12/17
Covenant,53,89,The trade pub,15,2021/12/15
Death Flight,14,158,Embers Rising,15,2021/12/15
KARI,0,196,Continuum,15,2021/12/15
Anla'Shok,65,55,GDZ,15,2021/12/15
System Shock,29,10,Final,5,2021/12/14
Team Elite,52,44,First Squad,10,2021/12/13
Sith Empire,116,67,Rocket-by Baby,15,2021/12/12
$TAR$,3,2,Teeny's WS,5,2021/12/12
$TAR$,60,154,The BR Project,15,2021/12/12
StarControl,143,51,OntarioDynasty,10,2021/12/12
Spacecrevards,285,80,Terranova,15,2021/12/12
Karanth Corp.,44,30,InfamousExiles,5,2021/12/11
Hinterm Mond,214,118,DadCorp,15,2021/12/11
UKR Spase,235,0,KARI,15,2021/12/11
ГОРИЗОНТ,27,159,Auscorp,15,2021/12/11
Kharon Shipping,169,70,РОССИЯ,10,2021/12/11
Anla'Shok,193,4,Omega Nation,15,2021/12/10
Karanth Corp.,50,38,Star Fall,5,2021/12/10
Imperium XIII,62,0,Starsailors,10,2021/12/10
Nearland Ind,41,157,The BR Project,15,2021/12/10
EradicatorElite,36,98,Ender,10,2021/12/09
Wacky Wabbits,150,87,Covenant,15,2021/12/09
Team Elite,10,31,Yishun CC,5,2021/12/08
Ender,67,83,HORNET,10,2021/12/08
Black Mirror Co,39,36,CCCP,10,2021/12/07
Spacefleet,94,37,KARI,10,2021/12/07
Sith Empire,113,37,Hipernova,15,2021/12/06
Weyland Corp,54,20,海賊ギルド,10,2021/12/06
Spacecrevards,241,145,Farland Ind.,15,2021/12/06
Hinterm Mond,367,53,The Watchers,15,2021/12/06
StarControl,85,46,The Time Lords,10,2021/12/06
Anla'Shok,105,55,Continuum,15,2021/12/05
Terranova,87,168,DadCorp,15,2021/12/05
Unimatrix Zero,240,1,Trade Station,10,2021/12/05
Bastion,16,7,Star-Jump CORPS,5,2021/12/05
OntarioDynasty,16,94,Auscorp,5,2021/12/05
Imperium XIII,40,32,Sol,5,2021/12/05
$TAR$,8,20,HORNET,5,2021/12/05
$TAR$,115,7,CCCP,15,2021/12/05
Kharon Shipping,217,29,UAGC,10,2021/12/05
Team Elite,52,7,Grunthal Gang,5,2021/12/03
Nearland Ind,121,9,Path of Hades,15,2021/12/03
Elite,30,109,EradicatorElite,10,2021/12/01
Ender,150,39,Gulinga,10,2021/12/01
Spacefleet,84,9,BR Gear,15,2021/11/30
Terranova,157,85,Furyan Corps.,15,2021/11/30
OntarioDynasty,80,84,The Star League,5,2021/11/30
StarControl,109,33,Star Fall,5,2021/11/29
$TAR$,124,25,Astra Ultima,15,2021/11/28
Team Elite,67,5,Polaris Corp.,5,2021/11/28
Anla'Shok,132,3,Rocket-by Baby,15,2021/11/27
Kharon Shipping,258,24,Topговая Федерация,10,2021/11/27
ГОРИЗОНТ,57,19,Karanth Corp.,5,2021/11/26
Wacky Wabbits,193,0,casual,15,2021/11/26
Ark Summit,170,1,The trade pub,15,2021/11/25
EradicatorElite,190,8,Pandora's Star,10,2021/11/24
Spacefleet,121,7,Dauntless,15,2021/11/23
СОЮЗ,0,386,Hinterm Mond,15,2021/11/23
Karanth Corp.,59,38,M3K,10,2021/11/22
Team Elite,48,6,Bastion,5,2021/11/22
Ender,35,49,The Time Lords,10,2021/11/22
Anla'Shok,102,1,ItBurnsWhenIEMP,15,2021/11/21
Spacecrevards,98,58,DUNE,10,2021/11/20
Bastion,19,48,Polaris,5,2021/11/20
Weyland Corp,187,7,Space Balls,10,2021/11/20
ГОРИЗОНТ,172,65,Terranova,15,2021/11/20
$TAR$,215,0,Core Infliction,15,2021/11/20
Ten Forward,38,13,GermanSpaceUno.,10,2021/11/17
Anla'Shok,57,49,Stargate Corp,15,2021/11/17
Spacefleet,280,0,Galaxia,15,2021/11/16
Team Elite,41,31,The Star League,5,2021/11/16
Canadian Army,49,187,Internationals,15,2021/11/15
Elite,110,21,Starsailors,5,2021/11/15
EradicatorElite,171,0,Silver Guard,10,2021/11/15
BlackStar Order,685,0,Farland Ind.,15,2021/11/14
Terranova,88,61,KARI,15,2021/11/14
Hinterm Mond,131,35,Final,10,2021/11/14
OntarioDynasty,19,53,nebulous,5,2021/11/14
Kharon Shipping,73,107,StarControl,10,2021/11/14
Imperium XIII,0,34,Deutsch Staat D,5,2021/11/14
Karanth Corp.,35,57,Space Penguins,5,2021/11/13
Karanth Corp.,207,24,Gulinga,5,2021/11/13
Auscorp,114,73,The Watchers,15,2021/11/13
Tacitus,36,67,IX Легион,10,2021/11/13
ГОРИЗОНТ,130,20,EZCO,10,2021/11/13
UKR Spase,51,23,On en a Gros !,10,2021/11/13
$TAR$,89,48,Black Mirror Co,15,2021/11/13
Anla'Shok,170,8,Free Thinkers 2,15,2021/11/10
Spacefleet,217,0,Path of Hades,15,2021/11/09
Team Elite,47,106,Justice League,5,2021/11/09
Canadian Army,183,49,Españoles,15,2021/11/08
Bastion,70,0,Swiss Chillers,10,2021/11/08
Legion,273,3,Rocinante,10,2021/11/08
Imperium XIII,59,13,Españoles,5,2021/11/08
DUNE,61,18,Polish Pirates,5,2021/11/07
Terranova,79,139,Urban Legends,15,2021/11/07
Weyland Corp,36,58,KARI,10,2021/11/07
UKR Spase,127,6,The Force,15,2021/11/07
Hinterm Mond,95,26,OntarioDynasty,5,2021/11/07
EradicatorElite,64,23,Urban Legends,10,2021/11/07
$TAR$,196,140,CommCody & LPA,15,2021/11/07
Kharon Shipping,151,34,The Watchers,10,2021/11/07
Auscorp,74,104,Salamanders,10,2021/11/06
ГОРИЗОНТ,125,0,SNSS,10,2021/11/06
StarControl,184,3,Final,15,2021/11/06
BlackStar Order,625,0,Anla'Shok,15,2021/11/05
Wintercomes,144,143,DTC,15,2021/11/05
Tacitus,73,58,TGY Inc.,15,2021/11/05
Unimatrix Zero,78,20,Star Fall,5,2021/11/05
Embers Rising,72,91,Prosperity,10,2021/11/04
Team Elite,62,58,Polaris,5,2021/11/03
Ark Summit,116,8,Dark Skai,15,2021/11/03
Spacefleet,223,0,Dauntless,15,2021/11/02
Canadian Army,190,28,USA,15,2021/11/01
Bastion,48,84,Yishun CC,10,2021/11/01
Hinterm Mond,165,61,The Star League,10,2021/11/01
Spacecrevards,151,40,EZCO,10,2021/10/31
Terranova,65,61,UAGC,15,2021/10/31
StarControl,31,64,Salamanders,5,2021/10/31
StarControl,112,26,Ender,10,2021/10/31
Anla'Shok,197,0,第一序列,15,2021/10/30
Black Mirror Co,142,138,Star Wars,15,2021/10/30
DUNE,65,0,Paиoн No 9,5,2021/10/30
DUNE,268,0,СОЮЗ,10,2021/10/30
$TAR$,54,2,Hellfire Club,5,2021/10/30
Path of Hades,4,115,$TAR$,15,2021/10/30
ГОРИЗОНТ,191,50,Farland Ind.,15,2021/10/30
MAQUIS,178,0,星舰地球,15,2021/10/30
TSI Inc.,162,30,First Squad,15,2021/10/30
Obsidian,211,33,Industrial W.O,15,2021/10/30
DTC,167,101,Gummibärenbande,15,2021/10/30
Tacitus,291,1,ТРУЛЯЛЯ,15,2021/10/30
Kharon Shipping,81,52,Karanth Corp.,5,2021/10/30
Imperium XIII,30,20,Team Elite,5,2021/10/28
Anla'Shok,73,20,Prophecy,15,2021/10/25
Canadian Army,167,36,G.M.U.,15,2021/10/25
Elite,12,75,DISS LIGA,10,2021/10/24
DUNE,123,7,Black Sun,10,2021/10/24
ГОРИЗОНТ,109,92,The Star League,10,2021/10/24
OntarioDynasty,46,40,Furyan Corps.,5,2021/10/24
Wacky Wabbits,72,56,ANZAC Warriors,15,2021/10/24
DadCorp,105,30,Ender,10,2021/10/23
Unimatrix Zero,67,130,BlackStar Order,15,2021/10/23
Terranova,84,37,Farland Ind.,15,2021/10/23
$TAR$,160,14,Simply Chaos,15,2021/10/23
Imperium XIII,81,15,The X - Files,5,2021/10/23
Auscorp,90,21,Bastion,15,2021/10/23
StarControl,159,51,Unimatrix Zero,15,2021/10/23
Karanth Corp.,223,13,ГОРИЗОНТ,5,2021/10/22
Kharon Shipping,218,15,Yishun CC,10,2021/10/22
Team Elite,54,0,Polaris Corp.,5,2021/10/22
Spacefleet,228,7,Space Balls,10,2021/10/20
Ark Summit,142,0,G.M.U.,15,2021/10/20
Anla'Shok,74,40,Galactic Empire,15,2021/10/19
Españoles,31,113,The Black Bulls,15,2021/10/19
Ahamkara,142,9,Dauntless,15,2021/10/19
Canadian Army,165,4,Silver Guard,15,2021/10/19
Trade Station,97,84,The Star League,15,2021/10/19
The Watchers,194,1,中国家民,15,2021/10/19
KARI,33,219,JTPS,15,2021/10/19
Hinterm Mond,66,99,DadCorp,10,2021/10/18
StarControl,116,10,Sith Empire,5,2021/10/18
Sith Empire,62,91,Bastion,10,2021/10/17
StarControl,48,18,Spacecrevards,5,2021/10/17
$TAR$,117,43,Omega Alpha,15,2021/10/17
Karanth Corp.,153,21,Nюбители пива,5,2021/10/16
Terranova,7,398,BlackStar Order,15,2021/10/16
Auscorp,406,0,СОЮЗ,15,2021/10/16
ГОРИЗОНТ,46,166,Elite Penguins,15,2021/10/16
Kharon Shipping,141,25,Ender,10,2021/10/16
Team Elite,5,47,KOPNOPAUNR 3NA,5,2021/10/15
Dark Skai,125,5,YETI Collective,15,2021/10/13
Wintercomes,97,41,OntarioDomicile,10,2021/10/12
GermanIndustrie,66,0,Sith Empire,5,2021/10/12
Hinterm Mond,91,52,Legion,10,2021/10/11
Weyland Corp,10,85,Trade Station,10,2021/10/10
Elite,53,25,Austria,10,2021/10/10
StarControl,271,12,EGO,15,2021/10/10
the heavy,60,34,Karanth Corp.,5,2021/10/10
Embers Rising,83,34,Yellow Dwarf,10,2021/10/10
OntarioDynasty,71,40,BRhue,5,2021/10/10
Sith Empire,28,116,Terranova,15,2021/10/10
Anla'Shok,57,73,Farland Ind.,15,2021/10/09
DUNE,33,10,Ritter der Nuss,5,2021/10/09
DUNE,69,16,Bastion,5,2021/10/09
Tacitus,154,12,Nюбители пива,10,2021/10/09
Auscorp,148,17,G.M.U.,15,2021/10/09
$TAR$,121,8,Industrial W.O,15,2021/10/09
Team Elite,86,13,The X - Files,5,2021/10/09
ГОРИЗОНТ,53,34,nebulous,15,2021/10/09
Karanth Corp.,27,7,ItBurnsWhenIEMP,5,2021/10/09
Ender,123,20,Polish Pirates,10,2021/10/08
H3LL FLAY3RS,85,138,혁명군,10,2021/10/06
Dark Skai,46,58,Continuum,15,2021/10/06
Canadian Army,156,117,Soylent Corp.,15,2021/10/06
Ark Summit,156,30,Internationals,15,2021/10/06
Spacefleet,56,117,BattleCo,10,2021/10/05
Yishun CC,15,31,GermanIndustrie,5,2021/10/05
Unimatrix Zero,87,0,HORNET,5,2021/10/05
Elite,32,115,ТРУЛЯЛЯ,15,2021/10/05
EradicatorElite,160,12,Urban Legends,10,2021/10/05
Anla'Shok,69,4,Stargate Corp,15,2021/10/04
Team Elite,52,10,PocKocMoc,5,2021/10/04
Imperium XIII,39,17,Topговая Федерация,5,2021/10/03
DUNE,12,78,Anke none,5,2021/10/03
Spacecrevards,453,0,casual,15,2021/10/03
StarControl,111,96,Hinterm Mond,10,2021/10/03
ГОРИЗОНТ,42,96,Salamanders,5,2021/10/03
ГОРИЗОНТ,12,66,System Shock,5,2021/10/03
UKR Spase,68,1,Orion,10,2021/10/03
Sith Empire,3,233,BlackStar Order,15,2021/10/02
$TAR$,152,131,Star Command,15,2021/10/02
Bcenehckne 40%,1,8,$TAR$,5,2021/10/02
Auscorp,175,90,Society of Sin,15,2021/10/02
Karanth Corp.,220,10,Polaris,5,2021/10/02
Ritter der Nuss,35,10,Space Donuts,5,2021/10/02
Ender,39,61,HORNET,10,2021/10/01
Anla'Shok,151,5,Wacky Wabbits,15,2021/09/29
Spacefleet,94,38,Gulinga,10,2021/09/29
Canadian Army,41,114,Internationals,15,2021/09/29
Embers Rising,40,173,ZEN,15,2021/09/29
Dark Skai,128,107,Stargate Corp,15,2021/09/29
Team Elite,30,60,JTPS,5,2021/09/28
Canadian Army,168,6,星舰地球,15,2021/09/27
nebulous,27,86,Hinterm Mond,10,2021/09/27
Tacitus,178,122,Foreshadowing,15,2021/09/26
DUNE,13,2,LOST PIRATES,5,2021/09/26
DUNE,78,0,Abh,5,2021/09/26
OntarioDynasty,96,78,The Watchers,15,2021/09/26
UKR Spase,26,8,GalaxyGuardians,5,2021/09/26
Karanth Corp.,36,4,Topговая Федерация,5,2021/09/26
Terranova,37,125,DadCorp,10,2021/09/25
Weyland Corp,28,53,DISS LIGA,10,2021/09/25
$TAR$,142,133,Rising star,15,2021/09/25
Legion,229,29,Ender,15,2021/09/25
ГОРИЗОНТ,157,39,Final,15,2021/09/25
AMБPEЛЛA,249,84,Elite Penguins,15,2021/09/25
Kharon Shipping,64,37,StarControl,10,2021/09/25
Yishun CC,36,60,Star Fall,5,2021/09/24
Elite,2,30,Star-Jump CORPS,10,2021/09/24
Anla'Shok,44,41,Ahamkara,15,2021/09/23
Embers Rising,125,14,지고 받자,15,2021/09/22
Team Elite,61,1,Rocinante,5,2021/09/22
Dark Skai,126,7,Red_Coat_Mafia,15,2021/09/22
EradicatorElite,130,2,Aggronauten,10,2021/09/22
Karanth Corp.,202,62,HORNET,10,2021/09/22
Interstellar,101,0,Imperium XIII,10,2021/09/21
Hinterm Mond,268,44,Bastion,10,2021/09/20
Elite,55,69,Space Donuts,10,2021/09/20
Elite,0,118,The Time Lords,10,2021/09/19
Sith Empire,57,40,Furyan Corps.,15,2021/09/19
OntarioDynasty,73,50,Final,15,2021/09/19
StarControl,122,63,ItBurnsWhenIEMP,5,2021/09/19
Spacecrevards,205,33,Black Sun,10,2021/09/19
Anla'Shok,180,0,Starsailors,15,2021/09/18
Terranova,25,140,Salamanders,10,2021/09/18
Unimatrix Zero,246,16,Topговая Федерация,5,2021/09/18
$TAR$,107,0,第一序列,15,2021/09/18
Auscorp,89,138,BlackStar Order,15,2021/09/18
UKR Spase,33,7,42 Nova Corps.,5,2021/09/18
Kharon Shipping,373,10,EZCO,10,2021/09/18
Yishun CC,36,27,Ender,10,2021/09/17
Aus Alliance,83,16,EGO,10,2021/09/16
Team Elite,52,29,First Squad,5,2021/09/16
Red_Coat_Mafia,116,1,Dauntless,15,2021/09/16
Dark Skai,244,0,KARI,15,2021/09/16
EradicatorElite,15,5,bob,5,2021/09/15
EradicatorElite,151,17,GDZ,10,2021/09/15
Embers Rising,95,21,Bcenehckne 40%,15,2021/09/15
ItBurnsWhenIEMP,101,14,Final,15,2021/09/14
Anla'Shok,64,0,Polaris,15,2021/09/13
Sith Empire,244,30,Españoles,15,2021/09/13
Elite,57,39,Majapahit,10,2021/09/13
Imperium XIII,63,15,Ten Forward,5,2021/09/12
Canadian Army,194,10,Crazy Elite,15,2021/09/12
StarControl,23,80,Star Fall,5,2021/09/12
Spacecrevards,134,123,Terranova,10,2021/09/12
СОЮЗ,4,164,ГОРИЗОНТ,10,2021/09/12
HORNET,15,29,Black Solaris,5,2021/09/12
Tacitus,222,28,The Force,15,2021/09/12
RUS,29,37,Hinterm Mond,10,2021/09/12
StarControl,35,29,Hinterm Mond,5,2021/09/12
Bastion,73,146,BRhue,10,2021/09/11
Legion,206,35,DadCorp,10,2021/09/11
Weyland Corp,7,85,DUNE,10,2021/09/11
$TAR$,106,12,CCCP,15,2021/09/11
Team Elite,22,0,M4-Legends,5,2021/09/11
UKR Spase,1,11,DISS LIGA,5,2021/09/11
Kharon Shipping,201,23,Ender,10,2021/09/11
Yishun CC,105,127,Elite Penguins,15,2021/09/10
Spacefleet,105,6,Lacuna Ind.,10,2021/09/09
Anla'Shok,60,0,Prosperity,15,2021/09/08
Elite,52,0,SNSS,10,2021/09/07
OntarioDynasty,95,35,Españoles,15,2021/09/06
DUNE,11,55,Stalkers' Zone,5,2021/09/05
Weyland Corp,116,14,Crazy Elite,10,2021/09/05
Unimatrix Zero,111,64,The Star League,10,2021/09/05
Star Fall,59,29,Terranova,5,2021/09/05
Bastion,52,48,StarControl,5,2021/09/05
Hamburg AG 2,47,46,Hydra,10,2021/09/05
Helion Prime,28,64,Black Sun,10,2021/09/05
StarControl,119,35,DadCorp,10,2021/09/05
Blood Brigade,87,97,LossFarm No.648,10,2021/09/05
Orion,81,9,Starsailors,15,2021/09/05
OntarioDynasty,64,44,Dauntless,15,2021/09/05
ТРУЛЯЛЯ,105,22,Black Sun,15,2021/09/05
Ten Forward,25,104,CCCP,15,2021/09/05
Canadian Army,120,82,Hipernova,15,2021/09/05
KARI,204,4,TGY Inc.,15,2021/09/05
Red_Coat_Mafia,159,103,Kpanhnn Kocmoc,15,2021/09/05
Team Elite,30,24,Avantgarde,5,2021/09/05
Final,40,79,Hinterm Mond,15,2021/09/05
BR Gear,177,0,KARI,15,2021/09/05
Imperium XIII,31,24,Topговая Федерация,5,2021/09/04
Auscorp,140,25,Elite Penguins,15,2021/09/04
ГОРИЗОНТ,59,22,Ender,10,2021/09/04
$TAR$,112,60,The BR Project,15,2021/09/04
Tacitus,196,24,СОЮЗ,15,2021/09/04
EradicatorElite,43,18,Wintercomes,10,2021/09/03
Dark Skai,24,29,Prosperity,15,2021/09/03
Anla'Shok,162,0,星舰地球,15,2021/09/02
Embers Rising,112,10,Spacefleet,10,2021/09/02
Ark Summit,122,97,Prosperity,15,2021/08/30
Canadian Army,187,8,G.M.U.,15,2021/08/30
Rocket-by Baby,146,17,RussianRangers,15,2021/08/30
Hinterm Mond,540,16,Urban Legends,15,2021/08/30
Bastion,13,61,Crazy Elite,5,2021/08/30
StarControl,60,17,Hinterm Mond,5,2021/08/30
OntarioDynasty,26,113,BlackStar Order,10,2021/08/29
Terranova,16,75,DUNE,10,2021/08/29
Legion,295,7,Final,15,2021/08/29
ГОРИЗОНТ,220,39,Sith Empire,15,2021/08/29
Ender,61,41,Hades Corpo,10,2021/08/28
Anla'Shok,77,15,Foreshadowing,15,2021/08/28
Auscorp,108,46,United Galaxies,15,2021/08/28
DUNE,7,31,DegobaSystem,5,2021/08/28
UKR Spase,44,16,Peaky Blinders,10,2021/08/28
$TAR$,155,65,Nearland Ind,15,2021/08/28
Team Elite,50,27,Topговая Федерация,5,2021/08/28
DUNE,14,5,Topговая Федерация,5,2021/08/27
Unimatrix Zero,51,163,Karanth Corp.,5,2021/08/27
Weyland Corp,46,43,Gummibärenbande,10,2021/08/27
EradicatorElite,110,5,Hun Generals,10,2021/08/27
Imperium XIII,6,30,Int. Trading Co,5,2021/08/26
Dark Skai,137,0,WFOS,15,2021/08/25
PocKocMoc,30,6,Imperium XIII,10,2021/08/25
Canadian Army,32,55,Anla'Shok,15,2021/08/24
Gamekings,66,35,Spacefleet,15,2021/08/24
Ark Summit,148,30,ItBurnsWhenIEMP,15,2021/08/23
StarControl,102,79,OntarioDynasty,10,2021/08/23
Elite,100,5,The X - Files,10,2021/08/23
Ender,175,75,The Star League,10,2021/08/22
Auscorp,95,49,Evil Empire,15,2021/08/22
Terranova,27,38,Unimatrix Zero,5,2021/08/22
Hinterm Mond,171,28,DadCorp,15,2021/08/22
Rocket-by Baby,37,213,The Force,15,2021/08/22
Black Sun,91,15,Trade Station,15,2021/08/22
Kharon Shipping,264,8,VoidCorp,10,2021/08/21
$TAR$,158,0,Aepxaba Pycb,15,2021/08/21
Imperium XIII,29,161,Grunthal Gang,10,2021/08/21
Yishun CC,12,53,Int. Trading Co,5,2021/08/21
The First Order,82,0,Imperium XIII,10,2021/08/20
KLM,2,50,龙门训练营,15,2021/08/18
Prosperity,128,30,지고 받자,15,2021/08/18
Internationals,154,12,Covenant,15,2021/08/18
Space Balls,83,2,GermanSpaceUno.,10,2021/08/18
Ahamkara,76,12,Swiss Chillers,10,2021/08/18
Internationals,3,123,Aggronauten,10,2021/08/18
The Fracture,79,57,Dreckiger Rest,10,2021/08/18
Dark Skai,118,48,星舰地球,15,2021/08/18
Anla'Shok,78,44,星舰地球,15,2021/08/17
Elite,48,10,Weyland Corp,10,2021/08/17
OntarioDynasty,236,31,The Star League,10,2021/08/16
Canadian Army,197,5,Lacuna Ind.,15,2021/08/16
StarControl,27,56,nebulous,5,2021/08/16
StarControl,96,22,42 Nova Corps.,5,2021/08/16
Yishun CC,11,72,GermanIndustrie,10,2021/08/16
Spacefleet,79,0,Path of Hades,15,2021/08/15
EradicatorElite,60,1,Pulsar,5,2021/08/15
Orion,86,11,Free Thinkers 2,10,2021/08/14
Aus Alliance,116,13,Free Thinkers 2,10,2021/08/14
the heavy,79,60,Hydra,10,2021/08/14
СОЮЗ,50,177,USSR,10,2021/08/14
BR Gear,0,32,Rocket-by Baby,15,2021/08/14
Furyan Corps.,36,1,BRhue,15,2021/08/14
Omega Alpha,127,61,No Orbit,15,2021/08/14
KARI,233,0,СОЮЗ,15,2021/08/14
$TAR$,101,10,CCCP,15,2021/08/14
Black Sun,25,84,EGO,15,2021/08/14
Kharon Shipping,296,4,11th Engineers,10,2021/08/14
Imperium XIII,160,32,The Outfit,10,2021/08/14
Topговая Федерация,39,30,ГОРИЗОНТ,5,2021/08/14
Ark Summit,93,26,GDZ,15,2021/08/13
Anla'Shok,113,6,YETI Collective,15,2021/08/12
Dark Skai,177,2,GermanSpaceUno.,15,2021/08/12
Team Elite,54,15,ГОРИЗОНТ,5,2021/08/12
Spacefleet,151,11,第一序列,15,2021/08/10
Ender,87,11,Polaris Corp.,10,2021/08/10
Yishun CC,119,41,Sith Empire,15,2021/08/10
Elite,75,2,White Dwarf,10,2021/08/10
Terranova,64,45,StarControl,5,2021/08/09
Canadian Army,138,1,Peaky Blinders,10,2021/08/09
Team Elite,26,72,StarControl,5,2021/08/09
OntarioDynasty,173,0,Españoles,10,2021/08/09
Bastion,61,107,Hinterm Mond,10,2021/08/09
nebulous,35,289,Kharon Shipping,10,2021/08/09
Anla'Shok,78,10,Octoberpierynm,15,2021/08/08
Rocket-by Baby,123,166,Stargate Corp,15,2021/08/08
Imperium XIII,78,44,EZCO,5,2021/08/08
ГОРИЗОНТ,26,341,Legion,15,2021/08/08
Auscorp,128,56,USA,15,2021/08/08
Weyland Corp,42,26,OntarioDominion,10,2021/08/08
